lon ; lat 
 -97.97565262; 45.65890865 
 -97.97564463; 45.65863867 
 -97.97602929; 45.65863306 
 -97.97602129; 45.65836308 
 -97.97640596; 45.65835746 
 -97.97679063; 45.65835185 
 -97.97717529; 45.65834623 
 -97.97716729; 45.65807625 
 -97.97715928; 45.65780627 
 -97.97715128; 45.65753630 
 -97.97676662; 45.65754191 
 -97.97675862; 45.65727193 
 -97.97637396; 45.65727755 
 -97.97638196; 45.65754753 
 -97.97599730; 45.65755314 
 -97.97561263; 45.65755876 
 -97.97522797; 45.65756437 
 -97.97484331; 45.65756998 
 -97.97485131; 45.65783996 
 -97.97446664; 45.65784557 
 -97.97408198; 45.65785118 
 -97.97408997; 45.65812116 
 -97.97370531; 45.65812677 
 -97.97332064; 45.65813237 
 -97.97331265; 45.65786240 
 -97.97292799; 45.65786800 
 -97.97292000; 45.65759802 
 -97.97253534; 45.65760363 
 -97.97215068; 45.65760923 
 -97.97214270; 45.65733925 
 -97.97213471; 45.65706928 
 -97.97212673; 45.65679930 
 -97.97174207; 45.65680490 
 -97.97173409; 45.65653492 
 -97.97134943; 45.65654053 
 -97.97134145; 45.65627055 
 -97.97095680; 45.65627615 
 -97.97094882; 45.65600617 
 -97.97094084; 45.65573619 
 -97.97093286; 45.65546622 
 -97.97092489; 45.65519624 
 -97.97091691; 45.65492626 
 -97.97090893; 45.65465629 
 -97.97090095; 45.65438631 
 -97.97089297; 45.65411633 
 -97.97088499; 45.65384636 
 -97.97050035; 45.65385196 
 -97.97049238; 45.65358198 
 -97.97048440; 45.65331201 
 -97.97086904; 45.65330641 
 -97.97086106; 45.65303643 
 -97.97085308; 45.65276646 
 -97.97084510; 45.65249648 
 -97.97083713; 45.65222651 
 -97.97082915; 45.65195653 
 -97.97121378; 45.65195093 
 -97.97120580; 45.65168096 
 -97.97159043; 45.65167536 
 -97.97158245; 45.65140538 
 -97.97196707; 45.65139978 
 -97.97195909; 45.65112981 
 -97.97195111; 45.65085983 
 -97.97233573; 45.65085423 
 -97.97232775; 45.65058426 
 -97.97271237; 45.65057865 
 -97.97270438; 45.65030868 
 -97.97308900; 45.65030307 
 -97.97308102; 45.65003310 
 -97.97307303; 45.64976313 
 -97.97345765; 45.64975752 
 -97.97344966; 45.64948755 
 -97.97344167; 45.64921757 
 -97.97343368; 45.64894760 
 -97.97342569; 45.64867763 
 -97.97381030; 45.64867202 
 -97.97380231; 45.64840205 
 -97.97341771; 45.64840766 
 -97.97340972; 45.64813769 
 -97.97340173; 45.64786771 
 -97.97378634; 45.64786211 
 -97.97377835; 45.64759214 
 -97.97377036; 45.64732216 
 -97.97376237; 45.64705219 
 -97.97414697; 45.64704659 
 -97.97413898; 45.64677661 
 -97.97413099; 45.64650664 
 -97.97412300; 45.64623667 
 -97.97450759; 45.64623106 
 -97.97449960; 45.64596109 
 -97.97488420; 45.64595548 
 -97.97487620; 45.64568551 
 -97.97486821; 45.64541554 
 -97.97525280; 45.64540993 
 -97.97524481; 45.64513996 
 -97.97523681; 45.64486999 
 -97.97522882; 45.64460002 
 -97.97561340; 45.64459441 
 -97.97560541; 45.64432444 
 -97.97559741; 45.64405447 
 -97.97598200; 45.64404886 
 -97.97597400; 45.64377889 
 -97.97596600; 45.64350892 
 -97.97595800; 45.64323896 
 -97.97595001; 45.64296899 
 -97.97594201; 45.64269902 
 -97.97593401; 45.64242905 
 -97.97592601; 45.64215909 
 -97.97631059; 45.64215347 
 -97.97630259; 45.64188350 
 -97.97668716; 45.64187789 
 -97.97667916; 45.64160792 
 -97.97706373; 45.64160230 
 -97.97705573; 45.64133234 
 -97.97704772; 45.64106237 
 -97.97703972; 45.64079241 
 -97.97703172; 45.64052244 
 -97.97702372; 45.64025247 
 -97.97701572; 45.63998251 
 -97.97740028; 45.63997689 
 -97.97739228; 45.63970692 
 -97.97777683; 45.63970131 
 -97.97776883; 45.63943134 
 -97.97776082; 45.63916138 
 -97.97775282; 45.63889141 
 -97.97774482; 45.63862145 
 -97.97773681; 45.63835148 
 -97.97772881; 45.63808152 
 -97.97811336; 45.63807590 
 -97.97810535; 45.63780593 
 -97.97848990; 45.63780031 
 -97.97848189; 45.63753035 
 -97.97886644; 45.63752473 
 -97.97885843; 45.63725476 
 -97.97924297; 45.63724914 
 -97.97962752; 45.63724352 
 -97.97961951; 45.63697355 
 -97.97961149; 45.63670359 
 -97.97960348; 45.63643363 
 -97.97921894; 45.63643925 
 -97.97921093; 45.63616929 
 -97.97882640; 45.63617491 
 -97.97844186; 45.63618053 
 -97.97805732; 45.63618615 
 -97.97806533; 45.63645612 
 -97.97768079; 45.63646173 
 -97.97729625; 45.63646735 
 -97.97691171; 45.63647297 
 -97.97690371; 45.63620301 
 -97.97651917; 45.63620862 
 -97.97651117; 45.63593866 
 -97.97612663; 45.63594428 
 -97.97574210; 45.63594989 
 -97.97535756; 45.63595550 
 -97.97534957; 45.63568554 
 -97.97534157; 45.63541558 
 -97.97495704; 45.63542119 
 -97.97494905; 45.63515123 
 -97.97533358; 45.63514561 
 -97.97532558; 45.63487565 
 -97.97531759; 45.63460569 
 -97.97570212; 45.63460008 
 -97.97569412; 45.63433012 
 -97.97530960; 45.63433573 
 -97.97530160; 45.63406577 
 -97.97491708; 45.63407138 
 -97.97490908; 45.63380142 
 -97.97490109; 45.63353146 
 -97.97451657; 45.63353707 
 -97.97450858; 45.63326710 
 -97.97412406; 45.63327271 
 -97.97411607; 45.63300275 
 -97.97373155; 45.63300836 
 -97.97372356; 45.63273840 
 -97.97371557; 45.63246844 
 -97.97370759; 45.63219848 
 -97.97369960; 45.63192852 
 -97.97408411; 45.63192291 
 -97.97407613; 45.63165295 
 -97.97446064; 45.63164734 
 -97.97445265; 45.63137738 
 -97.97444466; 45.63110742 
 -97.97443667; 45.63083746 
 -97.97482118; 45.63083185 
 -97.97481318; 45.63056189 
 -97.97480519; 45.63029193 
 -97.97442069; 45.63029754 
 -97.97403618; 45.63030315 
 -97.97402820; 45.63003320 
 -97.97364369; 45.63003880 
 -97.97363571; 45.62976884 
 -97.97325121; 45.62977445 
 -97.97286670; 45.62978006 
 -97.97285872; 45.62951010 
 -97.97285074; 45.62924014 
 -97.97284275; 45.62897018 
 -97.97283477; 45.62870022 
 -97.97282679; 45.62843027 
 -97.97321128; 45.62842466 
 -97.97359578; 45.62841905 
 -97.97358779; 45.62814910 
 -97.97397228; 45.62814349 
 -97.97396429; 45.62787353 
 -97.97395631; 45.62760357 
 -97.97434080; 45.62759797 
 -97.97433281; 45.62732801 
 -97.97432482; 45.62705805 
 -97.97431683; 45.62678809 
 -97.97470131; 45.62678249 
 -97.97469332; 45.62651253 
 -97.97507780; 45.62650692 
 -97.97506981; 45.62623696 
 -97.97506182; 45.62596701 
 -97.97544630; 45.62596139 
 -97.97543831; 45.62569144 
 -97.97582278; 45.62568583 
 -97.97581479; 45.62541587 
 -97.97619927; 45.62541026 
 -97.97619127; 45.62514030 
 -97.97580680; 45.62514591 
 -97.97579880; 45.62487596 
 -97.97579081; 45.62460600 
 -97.97578281; 45.62433605 
 -97.97577482; 45.62406610 
 -97.97576682; 45.62379614 
 -97.97538236; 45.62380175 
 -97.97537436; 45.62353180 
 -97.97536637; 45.62326185 
 -97.97535838; 45.62299189 
 -97.97535039; 45.62272194 
 -97.97496592; 45.62272755 
 -97.97495793; 45.62245760 
 -97.97457347; 45.62246321 
 -97.97458146; 45.62273316 
 -97.97419700; 45.62273877 
 -97.97418902; 45.62246882 
 -97.97380456; 45.62247442 
 -97.97379657; 45.62220447 
 -97.97341211; 45.62221008 
 -97.97340413; 45.62194012 
 -97.97301967; 45.62194573 
 -97.97301169; 45.62167578 
 -97.97300371; 45.62140582 
 -97.97338816; 45.62140022 
 -97.97377261; 45.62139461 
 -97.97415707; 45.62138900 
 -97.97414908; 45.62111905 
 -97.97414109; 45.62084910 
 -97.97452554; 45.62084349 
 -97.97490999; 45.62083788 
 -97.97490200; 45.62056793 
 -97.97528645; 45.62056232 
 -97.97567090; 45.62055670 
 -97.97605534; 45.62055109 
 -97.97643979; 45.62054548 
 -97.97643179; 45.62027552 
 -97.97681624; 45.62026991 
 -97.97682424; 45.62053986 
 -97.97720869; 45.62053424 
 -97.97759313; 45.62052863 
 -97.97797758; 45.62052301 
 -97.97796958; 45.62025305 
 -97.97835403; 45.62024743 
 -97.97873847; 45.62024181 
 -97.97873047; 45.61997186 
 -97.97911491; 45.61996624 
 -97.97949935; 45.61996062 
 -97.97988380; 45.61995499 
 -97.98026824; 45.61994937 
 -97.98065269; 45.61994374 
 -97.98064467; 45.61967379 
 -97.98063666; 45.61940384 
 -97.98062865; 45.61913389 
 -97.98062063; 45.61886394 
 -97.98061262; 45.61859399 
 -97.98060461; 45.61832404 
 -97.98059659; 45.61805409 
 -97.98098103; 45.61804846 
 -97.98136546; 45.61804283 
 -97.98174989; 45.61803720 
 -97.98213433; 45.61803157 
 -97.98251876; 45.61802594 
 -97.98290319; 45.61802031 
 -97.98328762; 45.61801467 
 -97.98327960; 45.61774472 
 -97.98366403; 45.61773909 
 -97.98365601; 45.61746914 
 -97.98364798; 45.61719919 
 -97.98403241; 45.61719355 
 -97.98402438; 45.61692360 
 -97.98440881; 45.61691797 
 -97.98479323; 45.61691233 
 -97.98517766; 45.61690669 
 -97.98556209; 45.61690105 
 -97.98557012; 45.61717100 
 -97.98595455; 45.61716536 
 -97.98596258; 45.61743530 
 -97.98634701; 45.61742966 
 -97.98673144; 45.61742402 
 -97.98711587; 45.61741837 
 -97.98750030; 45.61741273 
 -97.98750834; 45.61768268 
 -97.98789277; 45.61767703 
 -97.98827720; 45.61767138 
 -97.98866163; 45.61766573 
 -97.98866968; 45.61793568 
 -97.98905411; 45.61793003 
 -97.98943854; 45.61792438 
 -97.98943049; 45.61765443 
 -97.98942244; 45.61738448 
 -97.98980687; 45.61737883 
 -97.98979882; 45.61710888 
 -97.99018325; 45.61710323 
 -97.99017519; 45.61683328 
 -97.99016714; 45.61656333 
 -97.99015909; 45.61629338 
 -97.99015104; 45.61602343 
 -97.99014299; 45.61575349 
 -97.99052741; 45.61574783 
 -97.99051935; 45.61547788 
 -97.99051130; 45.61520794 
 -97.99089572; 45.61520228 
 -97.99088766; 45.61493233 
 -97.99087961; 45.61466239 
 -97.99126402; 45.61465673 
 -97.99125597; 45.61438678 
 -97.99164038; 45.61438113 
 -97.99163232; 45.61411118 
 -97.99201673; 45.61410552 
 -97.99200867; 45.61383557 
 -97.99239308; 45.61382991 
 -97.99238502; 45.61355997 
 -97.99237696; 45.61329002 
 -97.99276136; 45.61328436 
 -97.99275330; 45.61301442 
 -97.99274524; 45.61274447 
 -97.99312964; 45.61273881 
 -97.99312158; 45.61246886 
 -97.99311351; 45.61219892 
 -97.99349791; 45.61219325 
 -97.99348985; 45.61192331 
 -97.99348178; 45.61165337 
 -97.99386618; 45.61164770 
 -97.99425057; 45.61164204 
 -97.99463497; 45.61163637 
 -97.99501936; 45.61163070 
 -97.99502743; 45.61190065 
 -97.99541183; 45.61189498 
 -97.99540376; 45.61162503 
 -97.99578815; 45.61161937 
 -97.99579623; 45.61188931 
 -97.99618062; 45.61188364 
 -97.99656502; 45.61187797 
 -97.99657310; 45.61214791 
 -97.99695749; 45.61214224 
 -97.99696557; 45.61241218 
 -97.99658117; 45.61241786 
 -97.99658925; 45.61268780 
 -97.99620485; 45.61269347 
 -97.99621293; 45.61296342 
 -97.99659733; 45.61295775 
 -97.99698173; 45.61295207 
 -97.99698981; 45.61322202 
 -97.99737421; 45.61321635 
 -97.99738229; 45.61348629 
 -97.99739037; 45.61375624 
 -97.99739845; 45.61402618 
 -97.99778286; 45.61402051 
 -97.99779095; 45.61429045 
 -97.99779903; 45.61456040 
 -97.99818344; 45.61455472 
 -97.99819152; 45.61482467 
 -97.99819961; 45.61509462 
 -97.99820769; 45.61536456 
 -97.99821578; 45.61563451 
 -97.99860019; 45.61562883 
 -97.99860828; 45.61589878 
 -97.99899270; 45.61589310 
 -97.99937712; 45.61588742 
 -97.99976154; 45.61588174 
 -97.99976963; 45.61615169 
 -97.99977772; 45.61642164 
 -97.99978581; 45.61669159 
 -97.99979390; 45.61696153 
 -97.99980199; 45.61723148 
 -98.00018642; 45.61722580 
 -98.00057084; 45.61722012 
 -98.00095527; 45.61721443 
 -98.00133970; 45.61720875 
 -98.00172412; 45.61720306 
 -98.00210855; 45.61719737 
 -98.00249298; 45.61719168 
 -98.00250108; 45.61746163 
 -98.00288551; 45.61745594 
 -98.00289361; 45.61772589 
 -98.00290171; 45.61799584 
 -98.00328614; 45.61799015 
 -98.00367057; 45.61798446 
 -98.00367868; 45.61825441 
 -98.00406311; 45.61824871 
 -98.00407122; 45.61851866 
 -98.00407933; 45.61878861 
 -98.00408744; 45.61905856 
 -98.00447187; 45.61905287 
 -98.00447998; 45.61932282 
 -98.00486442; 45.61931712 
 -98.00524886; 45.61931142 
 -98.00563330; 45.61930573 
 -98.00601774; 45.61930003 
 -98.00640218; 45.61929433 
 -98.00639406; 45.61902438 
 -98.00677849; 45.61901868 
 -98.00716293; 45.61901298 
 -98.00754737; 45.61900727 
 -98.00753925; 45.61873732 
 -98.00792368; 45.61873162 
 -98.00793180; 45.61900157 
 -98.00831624; 45.61899586 
 -98.00832437; 45.61926581 
 -98.00833249; 45.61953576 
 -98.00834062; 45.61980571 
 -98.00834874; 45.62007566 
 -98.00835687; 45.62034561 
 -98.00874131; 45.62033990 
 -98.00912576; 45.62033420 
 -98.00951020; 45.62032849 
 -98.00989464; 45.62032278 
 -98.01027909; 45.62031707 
 -98.01028722; 45.62058702 
 -98.01067167; 45.62058131 
 -98.01067980; 45.62085126 
 -98.01106425; 45.62084554 
 -98.01144869; 45.62083983 
 -98.01145683; 45.62110978 
 -98.01184128; 45.62110406 
 -98.01184942; 45.62137402 
 -98.01185756; 45.62164397 
 -98.01186570; 45.62191392 
 -98.01187384; 45.62218387 
 -98.01225830; 45.62217815 
 -98.01264275; 45.62217243 
 -98.01265089; 45.62244238 
 -98.01303535; 45.62243667 
 -98.01341980; 45.62243095 
 -98.01342795; 45.62270090 
 -98.01381241; 45.62269518 
 -98.01419687; 45.62268945 
 -98.01458132; 45.62268373 
 -98.01496578; 45.62267801 
 -98.01535024; 45.62267228 
 -98.01573469; 45.62266656 
 -98.01572654; 45.62239661 
 -98.01611099; 45.62239088 
 -98.01610283; 45.62212093 
 -98.01648729; 45.62211520 
 -98.01687174; 45.62210947 
 -98.01725620; 45.62210374 
 -98.01764065; 45.62209801 
 -98.01764881; 45.62236796 
 -98.01803327; 45.62236223 
 -98.01804143; 45.62263218 
 -98.01804960; 45.62290213 
 -98.01805776; 45.62317208 
 -98.01844222; 45.62316634 
 -98.01845039; 45.62343630 
 -98.01883485; 45.62343056 
 -98.01921931; 45.62342483 
 -98.01922748; 45.62369478 
 -98.01961194; 45.62368904 
 -98.01999641; 45.62368330 
 -98.02038087; 45.62367756 
 -98.02037269; 45.62340761 
 -98.02075715; 45.62340187 
 -98.02114161; 45.62339613 
 -98.02113344; 45.62312618 
 -98.02151790; 45.62312043 
 -98.02150972; 45.62285048 
 -98.02189417; 45.62284474 
 -98.02190235; 45.62311469 
 -98.02228681; 45.62310895 
 -98.02229500; 45.62337890 
 -98.02267946; 45.62337315 
 -98.02268764; 45.62364310 
 -98.02307210; 45.62363736 
 -98.02308029; 45.62390731 
 -98.02346475; 45.62390156 
 -98.02347294; 45.62417151 
 -98.02348113; 45.62444146 
 -98.02348931; 45.62471141 
 -98.02349750; 45.62498137 
 -98.02388197; 45.62497562 
 -98.02426644; 45.62496987 
 -98.02465091; 45.62496411 
 -98.02503538; 45.62495836 
 -98.02504357; 45.62522831 
 -98.02542804; 45.62522256 
 -98.02581251; 45.62521681 
 -98.02582071; 45.62548676 
 -98.02620518; 45.62548100 
 -98.02658965; 45.62547524 
 -98.02697413; 45.62546949 
 -98.02698233; 45.62573944 
 -98.02736680; 45.62573368 
 -98.02775127; 45.62572792 
 -98.02774307; 45.62545797 
 -98.02812754; 45.62545221 
 -98.02851201; 45.62544644 
 -98.02889648; 45.62544068 
 -98.02890469; 45.62571063 
 -98.02928917; 45.62570487 
 -98.02929738; 45.62597482 
 -98.02930559; 45.62624477 
 -98.02969007; 45.62623901 
 -98.02969828; 45.62650896 
 -98.03008276; 45.62650319 
 -98.03046723; 45.62649742 
 -98.03047545; 45.62676738 
 -98.03085993; 45.62676161 
 -98.03086815; 45.62703156 
 -98.03125263; 45.62702579 
 -98.03126085; 45.62729574 
 -98.03126907; 45.62756570 
 -98.03127729; 45.62783565 
 -98.03089280; 45.62784142 
 -98.03090102; 45.62811138 
 -98.03090924; 45.62838133 
 -98.03091745; 45.62865128 
 -98.03092567; 45.62892124 
 -98.03093389; 45.62919119 
 -98.03094211; 45.62946115 
 -98.03095033; 45.62973110 
 -98.03095854; 45.63000106 
 -98.03096676; 45.63027101 
 -98.03097498; 45.63054097 
 -98.03098320; 45.63081092 
 -98.03099142; 45.63108088 
 -98.03099964; 45.63135084 
 -98.03100786; 45.63162079 
 -98.03101608; 45.63189075 
 -98.03102429; 45.63216071 
 -98.03063978; 45.63216648 
 -98.03064800; 45.63243643 
 -98.03065622; 45.63270639 
 -98.03066444; 45.63297635 
 -98.03027992; 45.63298212 
 -98.03028814; 45.63325207 
 -98.03029635; 45.63352203 
 -98.02991184; 45.63352780 
 -98.02992005; 45.63379776 
 -98.02992826; 45.63406772 
 -98.02954374; 45.63407348 
 -98.02955196; 45.63434344 
 -98.02916743; 45.63434921 
 -98.02917565; 45.63461917 
 -98.02879112; 45.63462493 
 -98.02879933; 45.63489489 
 -98.02841480; 45.63490065 
 -98.02842301; 45.63517061 
 -98.02843122; 45.63544057 
 -98.02804669; 45.63544633 
 -98.02805490; 45.63571629 
 -98.02806311; 45.63598625 
 -98.02767857; 45.63599201 
 -98.02768678; 45.63626197 
 -98.02769499; 45.63653193 
 -98.02731045; 45.63653769 
 -98.02731866; 45.63680765 
 -98.02770319; 45.63680189 
 -98.02771140; 45.63707185 
 -98.02809594; 45.63706609 
 -98.02810415; 45.63733605 
 -98.02848869; 45.63733029 
 -98.02887323; 45.63732453 
 -98.02925777; 45.63731876 
 -98.02964231; 45.63731300 
 -98.02963409; 45.63704304 
 -98.03001863; 45.63703727 
 -98.03001041; 45.63676731 
 -98.03039495; 45.63676154 
 -98.03077949; 45.63675577 
 -98.03116402; 45.63675000 
 -98.03154856; 45.63674423 
 -98.03193310; 45.63673846 
 -98.03231763; 45.63673268 
 -98.03270217; 45.63672691 
 -98.03308671; 45.63672113 
 -98.03347124; 45.63671536 
 -98.03385578; 45.63670958 
 -98.03424032; 45.63670380 
 -98.03423208; 45.63643384 
 -98.03461662; 45.63642806 
 -98.03500115; 45.63642228 
 -98.03538569; 45.63641650 
 -98.03537745; 45.63614654 
 -98.03576198; 45.63614075 
 -98.03614651; 45.63613497 
 -98.03613827; 45.63586501 
 -98.03652281; 45.63585922 
 -98.03690734; 45.63585344 
 -98.03689909; 45.63558348 
 -98.03728362; 45.63557769 
 -98.03766815; 45.63557190 
 -98.03765991; 45.63530194 
 -98.03804443; 45.63529615 
 -98.03842896; 45.63529036 
 -98.03842071; 45.63502040 
 -98.03880524; 45.63501461 
 -98.03918976; 45.63500882 
 -98.03957429; 45.63500303 
 -98.03995882; 45.63499723 
 -98.04034334; 45.63499143 
 -98.04072787; 45.63498564 
 -98.04111239; 45.63497984 
 -98.04149692; 45.63497404 
 -98.04150518; 45.63524400 
 -98.04188971; 45.63523820 
 -98.04227423; 45.63523239 
 -98.04265876; 45.63522659 
 -98.04304329; 45.63522079 
 -98.04342781; 45.63521498 
 -98.04381234; 45.63520918 
 -98.04419687; 45.63520337 
 -98.04458139; 45.63519756 
 -98.04496592; 45.63519175 
 -98.04497420; 45.63546171 
 -98.04535872; 45.63545590 
 -98.04574325; 45.63545009 
 -98.04612778; 45.63544427 
 -98.04651231; 45.63543846 
 -98.04689683; 45.63543265 
 -98.04728136; 45.63542683 
 -98.04766589; 45.63542101 
 -98.04805042; 45.63541519 
 -98.04843494; 45.63540938 
 -98.04881947; 45.63540356 
 -98.04882776; 45.63567351 
 -98.04921229; 45.63566769 
 -98.04959682; 45.63566187 
 -98.04998135; 45.63565605 
 -98.05036588; 45.63565022 
 -98.05075041; 45.63564439 
 -98.05075871; 45.63591435 
 -98.05114324; 45.63590853 
 -98.05115154; 45.63617848 
 -98.05153607; 45.63617266 
 -98.05154437; 45.63644261 
 -98.05192890; 45.63643679 
 -98.05231344; 45.63643096 
 -98.05269797; 45.63642512 
 -98.05270628; 45.63669508 
 -98.05309081; 45.63668925 
 -98.05347535; 45.63668342 
 -98.05346704; 45.63641346 
 -98.05385157; 45.63640762 
 -98.05384326; 45.63613766 
 -98.05422779; 45.63613183 
 -98.05421947; 45.63586187 
 -98.05460400; 45.63585603 
 -98.05459569; 45.63558608 
 -98.05498022; 45.63558024 
 -98.05497190; 45.63531028 
 -98.05496358; 45.63504032 
 -98.05534811; 45.63503448 
 -98.05533979; 45.63476453 
 -98.05533147; 45.63449457 
 -98.05571599; 45.63448873 
