time,TEMP_DAILY_MIN,TEMP_DAILY_MAX,PRECIP
1950-03-27 00:00:00,-4.46203389,0.01926554,5.01587572
1950-03-28 00:00:00,-10.89214692,-2.82333335,0.80661017
1950-03-29 00:00:00,-14.56553667,-1.68542374,0.02898305
1950-03-30 00:00:00,-5.60723164,4.25553673,0.03112994
1950-03-31 00:00:00,-1.75762712,4.47406779,0.26920904
1950-04-01 00:00:00,-5.000113,3.09406779,0.42903955
1950-04-02 00:00:00,-2.33717513,2.97971751,0.47898305
1950-04-03 00:00:00,-3.00898306,2.08316383,0.00920904
1950-04-04 00:00:00,-4.57124295,1.47124294,0.02124294
1950-04-05 00:00:00,-6.84553673,4.06531075,0.0
1950-04-06 00:00:00,-2.96604521,8.72909606,0.00265537
1950-04-07 00:00:00,-7.56706215,6.01361582,0.03288136
1950-04-08 00:00:00,-8.0940113,-1.92610168,0.47870056
1950-04-09 00:00:00,-5.53214688,0.19497175,2.20836158
1950-04-10 00:00:00,-3.41824858,-0.30316384,3.5940113
1950-04-11 00:00:00,-6.35090396,0.05570621,0.26485876
1950-04-12 00:00:00,-13.30824863,-1.65830508,0.0
1950-04-13 00:00:00,-12.19983052,2.12864406,0.0
1950-04-14 00:00:00,-7.26163843,7.36644069,0.0
1950-04-15 00:00:00,-1.64824859,14.55067794,0.0
1950-04-16 00:00:00,0.86689265,16.41553669,0.03870057
1950-04-17 00:00:00,-0.91146892,20.15898298,0.14971751
1950-04-18 00:00:00,1.64225988,13.20548021,0.25587571
1950-04-19 00:00:00,-0.91435028,6.86666665,0.0
1950-04-20 00:00:00,-4.14141243,9.12384183,0.0
1950-04-21 00:00:00,-2.48423729,16.22107344,0.0
1950-04-22 00:00:00,-0.64581921,16.90271186,0.20316384
1950-04-23 00:00:00,1.44892655,12.90310731,1.45621469
1950-04-24 00:00:00,-0.43988701,8.81672316,5.06728813
1950-04-25 00:00:00,-3.88112993,2.21830509,2.03576271
1950-04-26 00:00:00,-5.94926553,-0.70129943,0.20920904
1950-04-27 00:00:00,-5.35112994,0.28627118,0.03937853
1950-04-28 00:00:00,-6.22525423,2.43112995,1.1759887
1950-04-29 00:00:00,-3.79706214,0.62451977,4.49864407
1950-04-30 00:00:00,-4.82491527,2.04519774,1.45022598
1950-05-01 00:00:00,-4.27491527,7.55943504,5.280452
1950-05-02 00:00:00,0.73971752,5.5677401,17.6315819
1950-05-03 00:00:00,0.10158192,4.61440679,4.15920906
1950-05-04 00:00:00,0.08480226,2.57090396,17.25807906
