time,TEMP_DAILY_MIN,TEMP_DAILY_MAX,PRECIP_mm-d,PRECIP_mm-h,PRECIP_mm-min,PRECIP_mm-s
1950-02-19 00:00:00,-22.29966098,-11.52141243,0.0020904,0.0000871,1.45166666666667E-06,2.41944444444444E-08
1950-02-20 00:00:00,-16.61954803,-9.50796609,0.04429379,0.00184557458333333,3.07595763888889E-05,5.12659606481482E-07
1950-02-21 00:00:00,-17.47802255,-8.66271187,0.06084746,0.00253531083333333,4.22551805555556E-05,7.04253009259259E-07
1950-02-22 00:00:00,-17.19101695,-4.27977401,0.07615819,0.00317325791666667,5.28876319444444E-05,8.81460532407407E-07
1950-02-23 00:00:00,-23.58197741,-8.03412428,0.09740113,0.00405838041666667,6.76396736111111E-05,1.12732789351852E-06
1950-02-24 00:00:00,-26.40480223,-16.979774,0.20067796,0.00836158166666667,0.000139359694444444,2.32266157407407E-06
1950-02-25 00:00:00,-25.53564975,-13.17096043,0.02491525,0.00103813541666667,1.73022569444444E-05,2.88370949074074E-07
1950-02-26 00:00:00,-22.11858758,-6.04169491,0.00028249,1.17704166666667E-05,1.96173611111111E-07,3.26956018518519E-09
1950-02-27 00:00:00,-13.52158195,1.88101695,0,0,0,0
1950-02-28 00:00:00,-12.60604519,0.21316384,0.05937853,0.00247410541666667,4.12350902777778E-05,6.8725150462963E-07
1950-03-01 00:00:00,-19.35734461,-8.0523164,0.29322034,0.0122175141666667,0.000203625236111111,3.39375393518518E-06
1950-03-02 00:00:00,-27.65502821,-8.01514126,0,0,0,0
1950-03-03 00:00:00,-15.29028248,-0.92254237,0,0,0,0
1950-03-04 00:00:00,-5.84491527,5.97971751,0,0,0,0
1950-03-05 00:00:00,-2.37621469,4.94361582,0,0,0,0
1950-03-06 00:00:00,-1.4462147,8.84677968,0.65723164,0.0273846516666667,0.000456410861111111,7.60684768518519E-06
1950-03-07 00:00:00,-16.11423728,5.4261582,0.88152543,0.03673022625,0.0006121704375,0.000010202840625
1950-03-08 00:00:00,-18.84644067,-8.5520904,0.41615819,0.0173399245833333,0.000288998743055556,4.81664571759259E-06
1950-03-09 00:00:00,-18.12259896,-7.78615818,0.04485876,0.001869115,3.11519166666667E-05,5.19198611111111E-07
1950-03-10 00:00:00,-14.75022603,-7.9443503,0.05180791,0.00215866291666667,3.59777152777778E-05,5.99628587962963E-07
1950-03-11 00:00:00,-20.45700568,-10.11361581,0,0,0,0
1950-03-12 00:00:00,-20.52802263,-7.66807911,0,0,0,0
1950-03-13 00:00:00,-18.67039539,-5.44220341,0,0,0,0
1950-03-14 00:00:00,-14.75988701,-5.45672316,0,0,0,0
1950-03-15 00:00:00,-15.78977404,-0.34576272,0.00983051,0.000409604583333333,6.82674305555556E-06,1.13779050925926E-07
1950-03-16 00:00:00,-10.5305085,3.05774012,0.13514124,0.005630885,9.38480833333333E-05,1.56413472222222E-06
1950-03-17 00:00:00,-13.10440681,-2.10514125,0.01740113,0.000725047083333333,1.20841180555556E-05,2.01401967592593E-07
1950-03-18 00:00:00,-16.54649719,-5.79146891,0,0,0,0
1950-03-19 00:00:00,-11.24209037,-0.77225989,0.16129944,0.00672081,0.0001120135,1.86689166666667E-06
1950-03-20 00:00:00,-8.15971751,-0.05299435,0.85418079,0.03559086625,0.000593181104166667,9.88635173611111E-06
1950-03-21 00:00:00,-5.66259888,3.64892656,1.50689265,0.06278719375,0.00104645322916667,1.74408871527778E-05
1950-03-22 00:00:00,-6.13327685,7.85677968,0.91299435,0.03804143125,0.000634023854166667,1.05670642361111E-05
1950-03-23 00:00:00,-2.45576271,5.58406778,3.81949153,0.159145480416667,0.00265242467361111,4.42070778935185E-05
1950-03-24 00:00:00,-2.5798305,4.89870056,1.51389831,0.06307909625,0.00105131827083333,1.75219711805556E-05
1950-03-25 00:00:00,-2.37231639,3.24853108,5.91062144,0.246275893333333,0.00410459822222222,6.84099703703704E-05
1950-03-26 00:00:00,-1.45700565,1.40096045,10.41514126,0.433964219166667,0.00723273698611111,0.000120545616435185
1950-03-27 00:00:00,-4.46203389,0.01926554,5.01587572,0.208994821666667,0.00348324702777778,5.80541171296296E-05
1950-03-28 00:00:00,-10.89214692,-2.82333335,0.80661017,0.0336087570833333,0.000560145951388889,9.33576585648148E-06
1950-03-29 00:00:00,-14.56553667,-1.68542374,0.02898305,0.00120762708333333,2.01271180555555E-05,3.35451967592593E-07
1950-03-30 00:00:00,-5.60723164,4.25553673,0.03112994,0.00129708083333333,2.16180138888889E-05,3.60300231481482E-07
1950-03-31 00:00:00,-1.75762712,4.47406779,0.26920904,0.0112170433333333,0.000186950722222222,3.11584537037037E-06
1950-04-01 00:00:00,-5.000113,3.09406779,0.42903955,0.0178766479166667,0.000297944131944444,4.96573553240741E-06
1950-04-02 00:00:00,-2.33717513,2.97971751,0.47898305,0.0199576270833333,0.000332627118055556,5.54378530092593E-06
1950-04-03 00:00:00,-3.00898306,2.08316383,0.00920904,0.00038371,6.39516666666667E-06,1.06586111111111E-07
1950-04-04 00:00:00,-4.57124295,1.47124294,0.02124294,0.0008851225,1.47520416666667E-05,2.45867361111111E-07
1950-04-05 00:00:00,-6.84553673,4.06531075,0,0,0,0
1950-04-06 00:00:00,-2.96604521,8.72909606,0.00265537,0.000110640416666667,1.84400694444444E-06,3.07334490740741E-08
1950-04-07 00:00:00,-7.56706215,6.01361582,0.03288136,0.00137005666666667,2.28342777777778E-05,3.80571296296296E-07
1950-04-08 00:00:00,-8.0940113,-1.92610168,0.47870056,0.0199458566666667,0.000332430944444444,5.54051574074074E-06
1950-04-09 00:00:00,-5.53214688,0.19497175,2.20836158,0.0920150658333333,0.00153358443055556,2.55597405092593E-05
1950-04-10 00:00:00,-3.41824858,-0.30316384,3.5940113,0.149750470833333,0.00249584118055556,4.15973530092593E-05
1950-04-11 00:00:00,-6.35090396,0.05570621,0.26485876,0.0110357816666667,0.000183929694444444,3.06549490740741E-06
1950-04-12 00:00:00,-13.30824863,-1.65830508,0,0,0,0
1950-04-13 00:00:00,-12.19983052,2.12864406,0,0,0,0
1950-04-14 00:00:00,-7.26163843,7.36644069,0,0,0,0
1950-04-15 00:00:00,-1.64824859,14.55067794,0,0,0,0
1950-04-16 00:00:00,0.86689265,16.41553669,0.03870057,0.00161252375,2.68753958333333E-05,4.47923263888889E-07
1950-04-17 00:00:00,-0.91146892,20.15898298,0.14971751,0.00623822958333333,0.000103970493055556,1.73284155092593E-06
1950-04-18 00:00:00,1.64225988,13.20548021,0.25587571,0.0106614879166667,0.000177691465277778,2.9615244212963E-06
1950-04-19 00:00:00,-0.91435028,6.86666665,0,0,0,0
1950-04-20 00:00:00,-4.14141243,9.12384183,0,0,0,0
1950-04-21 00:00:00,-2.48423729,16.22107344,0,0,0,0
1950-04-22 00:00:00,-0.64581921,16.90271186,0.20316384,0.00846516,0.000141086,2.35143333333333E-06
1950-04-23 00:00:00,1.44892655,12.90310731,1.45621469,0.0606756120833333,0.00101126020138889,1.68543366898148E-05
1950-04-24 00:00:00,-0.43988701,8.81672316,5.06728813,0.211137005416667,0.00351895009027778,5.86491681712963E-05
1950-04-25 00:00:00,-3.88112993,2.21830509,2.03576271,0.08482344625,0.00141372410416667,2.35620684027778E-05
1950-04-26 00:00:00,-5.94926553,-0.70129943,0.20920904,0.00871704333333333,0.000145284055555556,2.42140092592593E-06
1950-04-27 00:00:00,-5.35112994,0.28627118,0.03937853,0.00164077208333333,2.73462013888889E-05,4.55770023148148E-07
1950-04-28 00:00:00,-6.22525423,2.43112995,1.1759887,0.0489995291666667,0.000816658819444444,1.36109803240741E-05
1950-04-29 00:00:00,-3.79706214,0.62451977,4.49864407,0.187443502916667,0.00312405838194444,5.20676396990741E-05
